GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,_count,_sum,_mean,_stdev,_min,_max,_range
KEN.1_1,KEN,Kenya,Baringo,NA,NA,County,County,"30",KE.BA,KE-01,124,44930.5001029968,362.342742766103,378.685502758333,0,1910.90002441406,1910.90002441406
KEN.2_1,KEN,Kenya,Bomet,NA,NA,County,County,"36",KE.BO,KE-02,26,39547.1998534203,1521.04614820847,1235.68815087477,0,3226.69995117188,3226.69995117188
KEN.3_1,KEN,Kenya,Bungoma,NA,NA,County,County,"39",KE.BN,KE-03,41,52573.0994873047,1282.27071920255,1087.03257577132,0,3616.30004882812,3616.30004882812
KEN.4_1,KEN,Kenya,Busia,NA,NA,County,County,"40",KE.BS,KE-04,19,26233.6999511719,1380.72105006168,854.577083543173,0,2160.80004882812,2160.80004882812
KEN.5_1,KEN,Kenya,Elgeyo-Marakwet,NA,NA,County,County,"28",KE.EM,NA,27,27389.5998962447,1014.42962578684,722.939342853741,0.100000001490116,2646.60009765625,2646.50009765476
KEN.6_1,KEN,Kenya,Embu,NA,NA,County,County,"14",KE.EB,KE-06,30,10982.2999572754,366.076665242513,333.566381678365,0,1047.40002441406,1047.40002441406
KEN.7_1,KEN,Kenya,Garissa,NA,NA,County,County,"7",KE.GA,KE-07,164,61.5000005885959,0.375000003588999,0.783159261706616,0,7.30000019073486,7.30000019073486
KEN.8_1,KEN,Kenya,HomaBay,NA,NA,County,County,"43",KE.HB,KE-08,36,49467.0001754761,1374.08333820767,1117.85039277593,42.5999984741211,4193.60009765625,4151.00009918213
KEN.9_1,KEN,Kenya,Isiolo,NA,NA,County,County,"11",KE.IS,KE-09,13,732.100003056228,56.3153848504791,94.4814254844706,0,308,308
KEN.10_1,KEN,Kenya,Kajiado,NA,NA,County,County,"34",KE.KJ,KE-10,213,20538.1999299079,96.423473849333,212.598393072876,0,2747.19995117188,2747.19995117188
KEN.11_1,KEN,Kenya,Kakamega,NA,NA,County,County,"37",KE.KK,KE-11,28,47304.7997436523,1689.45713370187,1738.06983619048,0,5087.10009765625,5087.10009765625
KEN.12_1,KEN,Kenya,Kericho,NA,NA,County,County,"35",KE.KR,KE-12,26,35044.2000735328,1347.85384898203,1586.7957983346,0,4182.5,4182.5
KEN.13_1,KEN,Kenya,Kiambu,NA,NA,County,County,"22",KE.KB,KE-13,29,40513.2004394531,1397.00691170528,1208.34701348851,5,3514,3509
