,lat,lon,Date,search_state,species,geometry
0,0.499269,34.288866,2019-09-26,Busia County,FAW,POINT (34.288866 0.499269)
1,-1.261967,36.801239,2019-03-14,Nairobi County,FAW,POINT (36.801239 -1.261967)
2,0.9187688,34.9299407,2018-07-14,Trans-Nzoia County,FAW,POINT (34.9299407 0.9187688)
3,0.504638,34.138156,2019-09-16,Busia County,FAW,POINT (34.138156 0.504638)
4,-0.0869941,37.6630762,2019-04-09,Meru County,FAW,POINT (37.6630762 -0.0869941)
5,0.4831488,37.6090933,2019-04-24,Meru County,FAW,POINT (37.6090933 0.4831488)
6,0.551105,34.261607,2019-09-02,Busia County,FAW,POINT (34.261607 0.551105)
7,0.460818,34.105675,2021-01-06,Busia County,FAW,POINT (34.105675 0.460818)
8,-1.5683764,37.078103,2019-04-03,Machakos County,FAW,POINT (37.078103 -1.5683764)
9,-0.2845506,36.0704836,2019-02-14,Nakuru,FAW,POINT (36.0704836 -0.2845506)
10,-3.435616,39.896317,2021-07-15,Kilifi County,FAW,POINT (39.896317 -3.435616)
11,0.554142,34.175648,2021-07-06,Busia County,FAW,POINT (34.175648 0.554142)
12,0.697794,34.350563,2019-10-15,Busia County,FAW,POINT (34.350563 0.697794)
13,-3.650488,39.789663,2021-05-17,Kilifi County,FAW,POINT (39.789663 -3.650488)
14,0.407613,34.193631,2021-05-03,Busia County,FAW,POINT (34.193631 0.407613)
15,0.791408,34.718649,2021-05-06,Bungoma County,FAW,POINT (34.718649 0.791408)
16,0.375406,34.353459,2021-06-15,Busia County,FAW,POINT (34.353459 0.375406)
17,0.565253,34.386351,2021-06-08,Bungoma County,FAW,POINT (34.386351 0.565253)
18,1.0968928,34.7866426,2018-06-29,Trans-Nzoia County,FAW,POINT (34.7866426 1.0968928)
19,0.552766,34.335819,2019-05-25,Busia County,FAW,POINT (34.335819 0.552766)
20,0.592516,34.572403,2021-05-27,Bungoma County,FAW,POINT (34.572403 0.592516)
21,-1.210481,36.8510154,2019-03-20,Nairobi County,FAW,POINT (36.8510154 -1.210481)
22,0.275283,34.130802,2021-05-03,Busia County,FAW,POINT (34.130802 0.275283)
23,0.496708,34.204908,2019-10-18,Busia County,FAW,POINT (34.204908 0.496708)
24,-1.5315163,37.2611855,2019-06-11,Machakos County,FAW,POINT (37.2611855 -1.5315163)
25,0.53956,34.619328,2021-05-18,Bungoma County,FAW,POINT (34.619328 0.53956)
26,-0.7756736,35.4640089,2018-11-22,Bomet,FAW,POINT (35.4640089 -0.7756736)
27,0.53375,34.526797,2021-05-24,Bungoma County,FAW,POINT (34.526797 0.53375)
28,-3.276447,40.006094,2021-05-18,Kilifi County,FAW,POINT (40.006094 -3.276447)
29,-3.129576,40.122393,2021-05-20,Kilifi County,FAW,POINT (40.122393 -3.129576)
30,-1.2652821,36.7365136,2019-07-16,Nairobi County,FAW,POINT (36.7365136 -1.2652821)
31,-0.794748,35.4120332,2018-08-10,Bomet,FAW,POINT (35.4120332 -0.794748)
32,0.6014712,34.6187514,2018-09-14,Bungoma County,FAW,POINT (34.6187514 0.6014712)
33,0.412595,34.134939,2021-10-18,Busia County,FAW,POINT (34.134939 0.412595)
34,-3.900834,39.766704,2021-05-13,Kilifi County,FAW,POINT (39.766704 -3.900834)
35,0.645349,34.28713,2019-05-28,Busia County,FAW,POINT (34.28713 0.645349)
36,0.357263,34.172837,2019-12-03,Busia County,FAW,POINT (34.172837 0.357263)
37,0.602632,34.36764,2019-05-25,Busia County,FAW,POINT (34.36764 0.602632)
38,-3.173256,39.978629,2021-03-16,Kilifi County,FAW,POINT (39.978629 -3.173256)
