,lat,lon,Date,search_state,species,Year,Month_of_year,YearMonth,Week_of_year,geometry
0,0.9187688,34.9299407,14/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,28,POINT (34.9299407 0.9187688)
1,0.499269,34.288866,01/10/2019,Busia County,FAW,2019,10,2019-10,40,POINT (34.288866 0.499269)
2,0.697794,34.350563,15/10/2019,Busia County,FAW,2019,10,2019-10,42,POINT (34.350563 0.697794)
3,0.520434,34.257097,28/04/2020,Busia County,FAW,2020,4,2020-04,18,POINT (34.257097 0.520434)
4,0.496708,34.204908,18/10/2019,Busia County,FAW,2019,10,2019-10,42,POINT (34.204908 0.496708)
5,0.526734,34.518866,11/06/2020,Bungoma County,FAW,2020,6,2020-06,24,POINT (34.518866 0.526734)
6,0.504638,34.138156,25/09/2019,Busia County,FAW,2019,9,2019-09,39,POINT (34.138156 0.504638)
7,1.0947321,34.770922,28/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,30,POINT (34.770922 1.0947321)
8,0.277717,36.379493,03/03/2020,Laikipia County,FAW,2020,3,2020-03,10,POINT (36.379493 0.277717)
9,1.563338,35.383911,18/10/2019,West Pokot,FAW,2019,10,2019-10,42,POINT (35.383911 1.563338)
10,0.535763,34.224197,23/09/2019,Busia County,FAW,2019,9,2019-09,39,POINT (34.224197 0.535763)
11,0.585278,34.247075,21/05/2019,Busia County,FAW,2019,5,2019-05,21,POINT (34.247075 0.585278)
12,-1.14803,36.8057417,09/12/2019,Kiambu,FAW,2019,12,2019-12,50,POINT (36.8057417 -1.14803)
13,0.8730617,34.8711783,08/07/2018,Trans-Nzoia County,FAW,2018,7,2018-07,27,POINT (34.8711783 0.8730617)
14,0.2846143,34.7535775,05/04/2018,Kakamega County,FAW,2018,4,2018-04,14,POINT (34.7535775 0.2846143)
15,-1.258074,36.772577,09/12/2019,Nairobi County,FAW,2019,12,2019-12,50,POINT (36.772577 -1.258074)
