YearMonth,count
2013-06,1.0
2015-06,1.0
2015-10,1.0
2016-06,1.0
2016-07,1.0
2017-01,1.0
2017-03,13.0
2017-04,123.0
2017-05,150.0
2017-06,181.0
2017-07,84.0
2017-08,35.0
2017-09,72.0
2017-10,51.0
2017-11,268.0
2017-12,167.0
2018-01,61.0
2018-02,74.0
2018-03,93.0
2018-04,276.0
2018-05,307.0
2018-06,126.0
2018-07,116.0
2018-08,88.0
2018-09,45.0
2018-10,42.0
2018-11,78.0
2018-12,66.0
2019-01,23.0
2019-02,57.0
2019-03,45.0
2019-04,51.0
2019-05,197.0
2019-06,93.0
2019-07,44.0
2019-08,240.0
2019-09,280.0
2019-10,97.0
2019-11,51.0
2019-12,95.0
2020-01,10.0
2020-02,11.0
2020-03,5.0
2020-04,6.0
2020-05,10.0
2020-06,9.0
2020-07,5.0
2020-10,2.0
2020-11,7.0
2020-12,1.0
2021-01,26.0
2021-02,8.0
2021-03,10.0
2021-04,21.0
2021-05,177.0
2021-06,56.0
2021-07,29.0
2021-08,4.0
2021-10,20.0
2021-11,5.0
2021-12,1.0
2022-01,1.0
2022-02,1.0
2022-06,1.0
2022-11,2.0
2022-12,1.0
2023-01,1.0
2023-04,3.0
2023-05,16.0
2023-06,5.0
2024-05,4.0
2024-11,1.0
2025-05,1.0
