lat,lon,Date,search_state,species
0.499269,34.288866,2019-09-26,Busia County,FAW
-1.261967,36.801239,2019-03-14,Nairobi County,FAW
0.9187688,34.9299407,2018-07-14,Trans-Nzoia County,FAW
0.504638,34.138156,2019-09-16,Busia County,FAW
-0.0869941,37.6630762,2019-04-09,Meru County,FAW
0.4831488,37.6090933,2019-04-24,Meru County,FAW
0.551105,34.261607,2019-09-02,Busia County,FAW
0.536165,34.25831,2019-09-02,Busia County,FAW
0.499269,34.288866,2019-10-01,Busia County,FAW
0.460818,34.105675,2021-01-06,Busia County,FAW
-1.5683764,37.078103,2019-04-03,Machakos County,FAW
-0.2845506,36.0704836,2019-02-14,Nakuru,FAW
-3.435616,39.896317,2021-07-15,Kilifi County,FAW
0.499269,34.288866,2019-09-16,Busia County,FAW
0.554142,34.175648,2021-07-06,Busia County,FAW
0.54943,34.260564,2021-05-06,Busia County,FAW
0.562,34.27845,2019-05-14,Busia County,FAW
0.697794,34.350563,2019-10-15,Busia County,FAW
0.545675,34.264908,2021-01-27,Busia County,FAW
-3.650488,39.789663,2021-05-17,Kilifi County,FAW
0.499269,34.288866,2019-09-16,Busia County,FAW
0.499269,34.288866,2019-09-25,Busia County,FAW
0.407613,34.193631,2021-05-03,Busia County,FAW
0.551277,34.262762,2019-05-27,Busia County,FAW
-1.5681674,37.0770898,2019-04-03,Machakos County,FAW
0.544665,34.262594,2019-08-29,Busia County,FAW
0.544665,34.262594,2019-09-03,Busia County,FAW
0.791408,34.718649,2021-05-06,Bungoma County,FAW
0.551105,34.261607,2019-09-03,Busia County,FAW
0.460839,34.105703,2021-01-06,Busia County,FAW
0.375406,34.353459,2021-06-15,Busia County,FAW
0.565253,34.386351,2021-06-08,Bungoma County,FAW
1.0968928,34.7866426,2018-06-29,Trans-Nzoia County,FAW
0.544665,34.262594,2019-08-30,Busia County,FAW
0.499269,34.288866,2019-09-25,Busia County,FAW
0.4831488,37.6090933,2019-04-24,Meru County,FAW
0.520434,34.257097,2020-04-28,Busia County,FAW
-3.422529,39.900857,2021-06-23,Kilifi County,FAW
0.551105,34.261607,2019-08-28,Busia County,FAW
0.464761,34.102925,2019-08-21,Busia County,FAW
0.552766,34.335819,2019-05-25,Busia County,FAW
0.499269,34.288866,2019-09-18,Busia County,FAW
0.50538,34.248986,2021-05-26,Busia County,FAW
0.544665,34.262594,2019-09-04,Busia County,FAW
0.592516,34.572403,2021-05-27,Bungoma County,FAW
-1.210481,36.8510154,2019-03-20,Nairobi County,FAW
0.462374,34.108853,2019-05-20,Busia County,FAW
0.544665,34.262594,2019-08-29,Busia County,FAW
0.464113,34.104331,2019-08-22,Busia County,FAW
0.275283,34.130802,2021-05-03,Busia County,FAW
0.545441,34.263172,2019-09-12,Busia County,FAW
0.496708,34.204908,2019-10-18,Busia County,FAW
-1.5315163,37.2611855,2019-06-11,Machakos County,FAW
-1.5305131,37.262693,2019-06-11,Machakos County,FAW
-0.285463,36.069977,2019-12-17,Nakuru,FAW
0.544665,34.262594,2019-09-02,Busia County,FAW
-1.1971817,36.8384783,2019-08-09,Kiambu,FAW
0.53956,34.619328,2021-05-18,Bungoma County,FAW
-0.7756736,35.4640089,2018-11-22,Bomet,FAW
0.499269,34.288866,2019-09-26,Busia County,FAW
0.53375,34.526797,2021-05-24,Bungoma County,FAW
0.504638,34.138156,2019-09-20,Busia County,FAW
0.526734,34.518866,2020-06-11,Bungoma County,FAW
0.592266,34.573431,2021-05-20,Bungoma County,FAW
0.504638,34.138156,2019-09-25,Busia County,FAW
-3.276447,40.006094,2021-05-18,Kilifi County,FAW
-3.129576,40.122393,2021-05-20,Kilifi County,FAW
0.464798,34.102901,2019-08-14,Busia County,FAW
0.464761,34.102925,2019-08-21,Busia County,FAW
0.464761,34.102925,2019-08-21,Busia County,FAW
-1.2623592,36.8013114,2019-03-14,Nairobi County,FAW
0.464761,34.102925,2019-08-22,Busia County,FAW
-1.5290018,37.2628393,2019-06-12,Machakos County,FAW
1.0947321,34.770922,2018-07-28,Trans-Nzoia County,FAW
0.537351,34.233165,2019-05-17,Busia County,FAW
0.536165,34.25831,2019-09-10,Busia County,FAW
0.487762,34.23994,2019-10-17,Busia County,FAW
0.464761,34.102925,2019-08-22,Busia County,FAW
-1.2620996,36.8013086,2019-03-14,Nairobi County,FAW
-0.7926621,35.470147,2018-08-10,Bomet,FAW
0.709391,34.381132,2019-08-27,Busia County,FAW
0.524397,34.260741,2019-09-26,Busia County,FAW
0.608626,34.542627,2021-10-18,Bungoma County,FAW
1.1080253,34.8073823,2018-07-06,Trans-Nzoia County,FAW
-1.2652821,36.7365136,2019-07-16,Nairobi County,FAW
0.499269,34.288866,2019-10-08,Busia County,FAW
-0.794748,35.4120332,2018-08-10,Bomet,FAW
0.499269,34.288866,2019-09-26,Busia County,FAW
0.6014712,34.6187514,2018-09-14,Bungoma County,FAW
0.412595,34.134939,2021-10-18,Busia County,FAW
-0.285456,36.070433,2019-12-17,Nakuru,FAW
-3.900834,39.766704,2021-05-13,Kilifi County,FAW
0.499269,34.288866,2019-09-16,Busia County,FAW
0.544665,34.262594,2019-08-19,Busia County,FAW
0.519901,34.257588,2021-06-03,Busia County,FAW
0.583829,34.26234,2019-05-24,Busia County,FAW
0.645349,34.28713,2019-05-28,Busia County,FAW
0.357263,34.172837,2019-12-03,Busia County,FAW
0.412919,34.133361,2021-06-22,Busia County,FAW
0.545441,34.263172,2019-09-11,Busia County,FAW
0.536165,34.25831,2019-09-02,Busia County,FAW
0.544665,34.262594,2019-08-19,Busia County,FAW
0.541221,34.260381,2019-08-16,Busia County,FAW
0.552766,34.335819,2019-05-25,Busia County,FAW
0.464761,34.102925,2019-08-22,Busia County,FAW
0.499269,34.288866,2019-09-25,Busia County,FAW
0.645349,34.28713,2019-05-28,Busia County,FAW
0.602632,34.36764,2019-05-25,Busia County,FAW
0.541221,34.260381,2019-08-16,Busia County,FAW
-1.1703427,36.8581619,2019-07-11,Kiambu,FAW
0.565305,34.279623,2019-05-22,Busia County,FAW
-3.173256,39.978629,2021-03-16,Kilifi County,FAW
0.524397,34.260741,2019-08-23,Busia County,FAW
0.597916,34.574553,2021-05-24,Bungoma County,FAW
0.619419,34.340578,2019-10-14,Busia County,FAW
0.564055,34.530102,2021-04-28,Bungoma County,FAW
-0.287269,36.073152,2019-12-17,Nakuru,FAW
0.499269,34.288866,2019-10-14,Busia County,FAW
0.277717,36.379493,2020-03-03,Laikipia County,FAW
0.277604,34.108505,2021-05-31,Busia County,FAW
0.499269,34.288866,2019-09-16,Busia County,FAW
0.465357,34.235507,2021-05-03,Busia County,FAW
0.552766,34.335819,2019-05-25,Busia County,FAW
0.544665,34.262594,2019-09-02,Busia County,FAW
-1.210481,36.8510154,2019-03-20,Nairobi County,FAW
-0.287313,36.074532,2019-12-17,Nakuru,FAW
0.544665,34.262594,2019-09-04,Busia County,FAW
0.561815,34.269422,2019-05-27,Busia County,FAW
0.524397,34.260741,2019-09-26,Busia County,FAW
0.561411,34.287443,2019-05-22,Busia County,FAW
0.464761,34.102925,2019-09-06,Busia County,FAW
-0.285408,36.069687,2019-12-17,Nakuru,FAW
0.539806,34.220922,2019-05-16,Busia County,FAW
0.500176,34.158224,2021-05-18,Busia County,FAW
0.525157,34.256573,2021-05-12,Busia County,FAW
0.408169,34.194459,2020-05-20,Busia County,FAW
0.544856,34.262669,2019-08-14,Busia County,FAW
0.9142054,34.9360105,2018-08-11,Trans-Nzoia County,FAW
0.551105,34.261607,2019-08-20,Busia County,FAW
0.583829,34.26234,2019-05-24,Busia County,FAW
0.464761,34.102925,2019-09-06,Busia County,FAW
-3.266117,40.047128,2021-05-26,Kilifi County,FAW
1.563338,35.383911,2019-10-18,West Pokot,FAW
0.695431,34.383592,2019-08-30,Busia County,FAW
0.504638,34.138156,2019-09-16,Busia County,FAW
0.519959,34.257582,2021-07-08,Busia County,FAW
-1.1703427,36.8581619,2019-07-11,Kiambu,FAW
-1.14803,36.8007417,2019-11-14,Kiambu,FAW
0.536165,34.25831,2019-09-10,Busia County,FAW
0.536165,34.25831,2019-09-09,Busia County,FAW
0.516254,34.548512,2021-05-17,Bungoma County,FAW
-0.7950875,35.4120494,2018-08-24,Bomet,FAW
-1.5290018,37.2628393,2019-06-12,Machakos County,FAW
0.619419,34.340578,2019-10-01,Busia County,FAW
0.634052,34.28713,2019-05-29,Busia County,FAW
0.800477,34.729607,2021-06-03,Bungoma County,FAW
0.629064,34.330169,2019-05-28,Busia County,FAW
0.524397,34.260741,2019-08-27,Busia County,FAW
0.551105,34.261607,2019-08-30,Busia County,FAW
0.545441,34.263172,2019-09-11,Busia County,FAW
-3.422769,39.900814,2021-05-06,Kilifi County,FAW
-0.285847,36.070332,2019-12-17,Nakuru,FAW
0.499269,34.288866,2019-09-19,Busia County,FAW
0.464761,34.102925,2019-09-04,Busia County,FAW
0.9027378,34.9694373,2018-07-07,Trans-Nzoia County,FAW
0.608624,34.542974,2021-04-19,Bungoma County,FAW
0.544665,34.262594,2019-08-23,Busia County,FAW
-3.423791,39.900172,2021-05-19,Kilifi County,FAW
-0.285332,36.07293,2019-12-17,Nakuru,FAW
0.9142309,34.9359597,2018-06-30,Trans-Nzoia County,FAW
0.535763,34.224197,2019-09-23,Busia County,FAW
0.449915,34.21546,2021-04-20,Busia County,FAW
-0.301704,36.074096,2019-12-18,Nakuru,FAW
