,species,Date,search_state,geometry
9,FAW,2021-01-06,Busia County,POINT (34.105675 0.460818)
12,FAW,2021-07-15,Kilifi County,POINT (39.896317 -3.435616)
14,FAW,2021-07-06,Busia County,POINT (34.175648 0.554142)
15,FAW,2021-05-06,Busia County,POINT (34.260564 0.54943)
18,FAW,2021-01-27,Busia County,POINT (34.264908 0.545675)
19,FAW,2021-05-17,Kilifi County,POINT (39.789663 -3.650488)
22,FAW,2021-05-03,Busia County,POINT (34.193631 0.407613)
27,FAW,2021-05-06,Bungoma County,POINT (34.718649 0.791408)
29,FAW,2021-01-06,Busia County,POINT (34.105703 0.460839)
30,FAW,2021-06-15,Busia County,POINT (34.353459 0.375406)
31,FAW,2021-06-08,Bungoma County,POINT (34.386351 0.565253)
37,FAW,2021-06-23,Kilifi County,POINT (39.900857 -3.422529)
42,FAW,2021-05-26,Busia County,POINT (34.248986 0.50538)
44,FAW,2021-05-27,Bungoma County,POINT (34.572403 0.592516)
49,FAW,2021-05-03,Busia County,POINT (34.130802 0.275283)
57,FAW,2021-05-18,Bungoma County,POINT (34.619328 0.53956)
60,FAW,2021-05-24,Bungoma County,POINT (34.526797 0.53375)
63,FAW,2021-05-20,Bungoma County,POINT (34.573431 0.592266)
65,FAW,2021-05-18,Kilifi County,POINT (40.006094 -3.276447)
66,FAW,2021-05-20,Kilifi County,POINT (40.122393 -3.129576)
82,FAW,2021-10-18,Bungoma County,POINT (34.542627 0.608626)
89,FAW,2021-10-18,Busia County,POINT (34.134939 0.412595)
91,FAW,2021-05-13,Kilifi County,POINT (39.766704 -3.900834)
94,FAW,2021-06-03,Busia County,POINT (34.257588 0.519901)
98,FAW,2021-06-22,Busia County,POINT (34.133361 0.412919)
111,FAW,2021-03-16,Kilifi County,POINT (39.978629 -3.173256)
113,FAW,2021-05-24,Bungoma County,POINT (34.574553 0.597916)
115,FAW,2021-04-28,Bungoma County,POINT (34.530102 0.564055)
119,FAW,2021-05-31,Busia County,POINT (34.108505 0.277604)
121,FAW,2021-05-03,Busia County,POINT (34.235507 0.465357)
133,FAW,2021-05-18,Busia County,POINT (34.158224 0.500176)
134,FAW,2021-05-12,Busia County,POINT (34.256573 0.525157)
141,FAW,2021-05-26,Kilifi County,POINT (40.047128 -3.266117)
145,FAW,2021-07-08,Busia County,POINT (34.257582 0.519959)
150,FAW,2021-05-17,Bungoma County,POINT (34.548512 0.516254)
155,FAW,2021-06-03,Bungoma County,POINT (34.729607 0.800477)
160,FAW,2021-05-06,Kilifi County,POINT (39.900814 -3.422769)
165,FAW,2021-04-19,Bungoma County,POINT (34.542974 0.608624)
167,FAW,2021-05-19,Kilifi County,POINT (39.900172 -3.423791)
171,FAW,2021-04-20,Busia County,POINT (34.21546 0.449915)
177,FAW,2021-06-22,Busia County,POINT (34.133361 0.412919)
184,FAW,2021-06-04,Bungoma County,POINT (34.721413 0.797028)
185,FAW,2021-05-29,Busia County,POINT (34.255532 0.526878)
188,FAW,2021-05-03,Bungoma County,POINT (34.617714 0.568752)
189,FAW,2021-05-20,Kilifi County,POINT (39.772821 -3.892211)
190,FAW,2021-05-19,Busia County,POINT (34.266045 0.545664)
191,FAW,2021-04-28,Bungoma County,POINT (34.52902 0.563753)
195,FAW,2021-06-21,Busia County,POINT (34.207309 0.43578)
204,FAW,2021-04-19,Busia County,POINT (34.131232 0.27626)
205,FAW,2021-06-02,Bungoma County,POINT (34.385325 0.558348)
206,FAW,2021-07-01,Kilifi County,POINT (40.011545 -3.225757)
208,FAW,2021-03-03,Kilifi County,POINT (39.720753 -3.903322)
213,FAW,2021-05-31,Kilifi County,POINT (39.896304 -3.435655)
214,FAW,2021-05-20,Bungoma County,POINT (34.540204 0.530457)
230,FAW,2021-05-19,Kilifi County,POINT (39.900172 -3.423791)
235,FAW,2021-05-04,Bungoma County,POINT (34.57597 0.575923)
241,FAW,2021-10-19,Busia County,POINT (34.26213 0.357372)
245,FAW,2021-05-27,Busia County,POINT (34.141509 0.497642)
246,FAW,2021-07-01,Kilifi County,POINT (39.770448 -3.897663)
248,FAW,2021-03-16,Kilifi County,POINT (39.962784 -3.202971)
250,FAW,2021-05-17,Busia County,POINT (34.131809 0.278744)
252,FAW,2021-07-09,Kilifi County,POINT (39.773143 -3.892193)
261,FAW,2021-05-04,Busia County,POINT (34.195429 0.40644)
265,FAW,2021-07-08,Kilifi County,POINT (39.902099 -3.418004)
267,FAW,2021-11-30,Baringo,POINT (35.745971 0.075945)
271,FAW,2021-06-17,Busia County,POINT (34.257576 0.519829)
275,FAW,2021-05-25,Kilifi County,POINT (39.996472 -3.221059)
287,FAW,2021-05-31,Kilifi County,POINT (40.02471 -3.24727)
288,FAW,2021-01-06,Busia County,POINT (34.105662 0.460806)
289,FAW,2021-05-24,Bungoma County,POINT (34.575545 0.596125)
292,FAW,2021-05-26,Kilifi County,POINT (40.051294 -3.264196)
297,FAW,2021-05-20,Bungoma County,POINT (34.575733 0.592494)
299,FAW,2021-05-12,Kilifi County,POINT (39.900172 -3.423791)
301,FAW,2021-06-28,Bungoma County,POINT (34.769073 0.742881)
