ID,Date,Region,Sub region,Country,District,Village,lat,long,FAW Confirmed count,FAW Suspected count,FAW Confirmed + Suspected count,Other species count
  Bu 000084,2018-11-29,Africa,Sub-Saharan Africa,Burundi,Ngozi,Cihonda,-2.82,30.135,1,,1,
  et000145,2018-09-17,Africa,Sub-Saharan Africa,Ethiopia,NoData,kat,11.38196697,36.87997953,,,,
 ET-000001 ,2018-08-28,Africa,Sub-Saharan Africa,Ethiopia,Oromia,Seka,7.5956655,36.7168321,8,,8,
 GHWRWW01,2019-07-30,Africa,Sub-Saharan Africa,Ghana,NoData,Asankrangwa Council,5.7959005,-2.4289297,6,36,42,24
 Sd010819,2019-10-10,Africa,Northern Africa,Sudan,Shiamal Kurdufan,Elsimih,12.44859,30.2733,46,4,50,
",000181",2018-08-17,Africa,Sub-Saharan Africa,Ethiopia,NoData,gara huda,8.98805598,36.68736539,22,2,24,5
",000182",2018-08-17,Africa,Sub-Saharan Africa,Ethiopia,NoData,gara huda,8.98805598,36.68736539,44,,44,1
,2018-12-24,Africa,Sub-Saharan Africa,United Republic of Tanzania,Morogoro,KILOSA,-6.8289831,36.9875164,1,2,3,
,2019-12-09,Africa,Sub-Saharan Africa,Rwanda,Northern,Busogo gisesero,-1.54,29.54,,,,
,2019-02-08,Africa,Sub-Saharan Africa,United Republic of Tanzania,Mbeya,Ikukwa,-8.7060464,33.2864982,,,,
,2019-01-18,Africa,Sub-Saharan Africa,United Republic of Tanzania,Morogoro,Kilosa,-6.8289831,36.9875164,,,,
0.25,2020-05-13,Africa,Sub-Saharan Africa,Ethiopia,NoData,ura,11.69445244,37.31599838,,,,
0.33,2018-09-21,Africa,Sub-Saharan Africa,Kenya,Bomet,samituk,-0.8508855,35.3964127,6,4,10,2
00,2018-12-23,Africa,Sub-Saharan Africa,United Republic of Tanzania,Morogoro,Kilosa,-6.8203083,37.0019367,1,2,3,
0000009,2019-03-27,Africa,Sub-Saharan Africa,Rwanda,Northern,Rebero,-1.6282417,30.1508183,18,,18,6
0000010,2019-03-27,Africa,Sub-Saharan Africa,Rwanda,Northern,Rebero,-1.6282417,30.1508183,,,,
0000011,2019-06-08,Africa,Sub-Saharan Africa,Rwanda,Northern,Murehe,-1.7798583,30.2492517,4,4,8,2
00000115,2019-05-30,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256183,29.5669567,142,,142,4
00000115,2019-06-20,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5257583,29.5676133,78,,78,
00000115,2019-06-27,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5254467,29.56733,194,,194,8
00000115,2019-05-27,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.525625,29.567555,146,,146,8
00000115,2019-07-01,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.52576,29.5669533,232,,232,4
00000115,2019-05-09,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5250783,29.5672083,116,,116,
00000115,2019-06-13,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256733,29.5671983,148,,148,4
00000115,2019-04-30,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5254233,29.5676833,56,,56,2
00000115,2019-07-04,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5255517,29.56759,122,,122,2
00000115,2019-06-03,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.525915,29.5675867,136,,136,6
00000115,2019-05-20,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5257167,29.5674033,172,,172,10
00000115,2019-06-17,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.525585,29.567325,74,,74,2
00000115,2019-05-23,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256467,29.5671367,158,,158,6
00000115,2019-05-06,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5254683,29.56759,126,,126,2
00000115,2019-04-22,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256083,29.5675967,42,,42,2
00000115,2019-05-06,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5254367,29.5677033,92,,92,2
00000115,2019-06-13,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256733,29.5671933,72,,72,
00000115,2019-06-06,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.525465,29.5670583,134,,134,6
00000116,2019-06-17,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.525585,29.567325,86,,86,6
00000116,2019-06-03,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.525915,29.5675867,192,,192,14
00000116,2019-05-20,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5257167,29.5674033,226,,226,18
00000116,2019-06-20,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5257583,29.5676133,42,,42,
00000116,2019-06-13,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256733,29.5671983,118,,118,6
00000116,2019-07-04,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5255517,29.56759,68,,68,2
00000116,2019-05-30,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256183,29.5669567,188,,188,
00000116,2019-06-13,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256733,29.5671933,82,,82,4
00000116,2019-05-06,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5254367,29.5677033,166,,166,
00000116,2019-05-27,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.525625,29.567555,162,,162,12
00000116,2019-06-27,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5254467,29.56733,202,,202,18
00000116,2019-05-09,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5250783,29.5672083,158,,158,6
00000116,2019-05-23,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256467,29.5671367,168,,168,14
00000116,2019-04-22,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5256083,29.5675967,18,,18,4
00000116,2019-07-01,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.52576,29.5669533,304,,304,
00000116,2019-05-06,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5254683,29.56759,178,,178,6
00000116,2019-04-30,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.5254233,29.5676833,172,,172,4
0000012,2019-06-08,Africa,Sub-Saharan Africa,Rwanda,Northern,Murehe,-1.7798583,30.2492517,6,4,10,
0000016,2019-06-06,Africa,Sub-Saharan Africa,Rwanda,Southern,Baro,-2.525465,29.5670583,142,,142,10
000004,2018-10-15,Africa,Northern Africa,Sudan,Al Khartum,الفكي هاشم,15.880045,32.5791623,4,58,62,1
000005,2018-10-12,Africa,Northern Africa,Sudan,Al Khartum,ديم ابوفريوة,15.625239,32.5413934,,12,12,
000005,2018-10-15,Africa,Northern Africa,Sudan,Al Khartum,الفكي هاشم,15.880045,32.5791623,4,33,37,5
