,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1,split
0,POINT (34.288866 0.499269),1,288.50179873572455,294.7716149186663,302.4790725708008,0.13431033132216297,87513.68717864825,-0.026132789856751968,-0.0898234199719607,-0.09861827422033655,289.5895010746199,0.3447617034693627,295.8781277518138,train
1,POINT (34.9299407 0.9187688),1,284.0989059872097,290.3188573804156,297.6252212524414,0.14121107076430614,80190.3876315846,-0.7284493042568876,-0.08928332935061513,-0.6673230277167419,284.00223447479914,0.396424231094914,292.0738071859282,train
2,POINT (34.138156 0.504638),1,288.9160510169135,294.89601694972987,302.3316701253255,0.1589496981376505,87902.81124968847,-0.10816817323536264,-0.09244594814824975,0.10811395997007317,290.16902569198066,0.36436690878162337,296.02982903780935,train
3,POINT (37.6630762 -0.0869941),1,284.89534759521484,290.7993808335559,297.3350314034356,0.16908611364695061,82856.82484842552,-0.6791437868645447,-0.11531430679476923,0.7903071712590266,285.98868524723184,0.3156139648468177,291.8767755109733,train
4,POINT (34.261607 0.551105),1,288.9160510169135,294.89601694972987,302.3316701253255,0.1589496981376505,87902.81124968847,-0.10816817323536264,-0.09244594814824975,0.10811395997007317,290.16902569198066,0.36436690878162337,296.02982903780935,train
5,POINT (37.078103 -1.5683764),1,286.2698252995809,292.2560066555972,299.80412260691327,0.06861410675188861,83918.47726877886,-1.7526967136499063,-0.0631257864426718,-0.02993303140299075,285.9178761004561,0.250256182326219,295.5540370681803,train
6,POINT (36.0704836 -0.2845506),1,283.255666202969,290.69941950932326,298.33787483639185,0.10991851666974653,79752.46543441914,-0.4054499162808064,-0.09802345902426168,-0.016907325755614298,283.67232797590674,0.2738422287587936,291.88535092847684,train
7,POINT (34.175648 0.554142),1,288.9160510169135,294.89601694972987,302.3316701253255,0.1589496981376505,87902.81124968847,-0.10816817323536264,-0.09244594814824975,0.10811395997007317,290.16902569198066,0.36436690878162337,296.02982903780935,train
8,POINT (34.350563 0.697794),1,287.465007464091,294.2206208697653,301.27131949530707,0.2142684629107445,87298.27043023544,0.029139951840964066,-0.0875707682247998,-0.36621137086069344,289.2598450530252,0.36379685323184296,294.6733476468073,train
9,POINT (39.789663 -3.650488),1,296.31937355465357,299.2725991136784,303.1078568564521,0.08104120756014482,100744.08759537005,-1.259420088766766,-0.07704789327302326,3.0052790561808056,295.1353520520185,0.2434315502261214,301.4751152599048,train
