,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1,split
0,POINT (34.7689 0.93371),1,286.50636291503906,291.3516220379901,298.4840393066406,0.19522199913522797,81798.11005229334,-0.8000852587402508,-0.08691642060875893,-0.46083841657125824,286.8192563415856,0.4691604696294313,291.47535773246517,train
1,POINT (37.32643 -0.57318),1,285.0281219482422,290.92345451026836,296.4625549316406,0.295339876260968,84319.81435336861,-0.43233334761793896,-0.10888246260583401,0.647281753119602,287.9679747345627,0.4638758013325353,291.38420402362783,train
2,POINT (37.4541 -0.5365),1,287.1843719482422,292.3954387172576,298.3297424316406,0.26976362749597627,85646.72295551916,-0.06591895959710561,-0.10811458434909582,0.756850359260395,288.45262275203584,0.4585938197310253,293.1716992983254,train
3,POINT (37.46408 -0.47389),1,287.1843719482422,292.3954387172576,298.3297424316406,0.26976362749597627,85646.72295551916,-0.06591895959710561,-0.10811458434909582,0.756850359260395,288.45262275203584,0.4585938197310253,293.1716992983254,train
4,POINT (36.1651 -0.176445),1,282.2964324951172,288.9063069128221,296.7496643066406,0.3630530624057968,77169.28747164819,-0.6267546030782885,-0.11296581383794546,0.9257562942402338,283.85831359124955,0.27011705213977444,291.0271365463093,train
5,POINT (37.4569 -0.41337),1,286.0190734863281,291.5960068036151,297.0797424316406,0.29859071358701783,84879.64499852991,-0.055917725768140567,-0.1083815349265933,0.95919043402518,288.33979565610167,0.400028803015268,292.10283589106734,train
6,POINT (37.05557279 -0.53427365),1,284.0320281982422,289.7611114953154,295.34326171875,0.2045743404295166,82520.20010605679,-0.7599254385117562,-0.10160436294972897,1.0685523081851263,287.12465001178043,0.44908226177256594,291.3475015496695,train
7,POINT (36.2225 -0.115301),1,282.1791229248047,287.9184666910479,295.4820861816406,0.4116937606003006,75663.64634261593,-0.9281074834126298,-0.11066800076514482,0.9713600566310268,283.25629956235167,0.3516560831377583,290.11738982251893,train
8,POINT (36.105 -0.15732),1,284.6186981201172,291.18473223204256,299.4762268066406,0.24932835384866792,80591.52940713205,-0.2939233331270115,-0.10545836202800274,0.898390886604145,285.40692645247265,0.29608802385227656,292.3674712027273,train
9,POINT (34.87029 0.99319),1,286.52879333496094,290.81166698086645,297.4684143066406,0.14141427859327393,81064.30494476647,-0.9099111313460976,-0.07655078452080488,-0.472906970208691,286.15311733368907,0.4428175854426558,291.53459989896385,train
10,POINT (35.61245 0.95475),1,288.37359619140625,294.75717636846724,302.1246643066406,0.22680891438982087,84431.93800928259,-0.4807880424684094,-0.11033681128174067,-0.17826205043382543,287.68052933805734,0.2947378876388714,296.16712100531464,train
11,POINT (36.11021 -0.25034),1,283.0829162597656,290.93142799801296,298.6378631591797,0.011891812579754912,79570.06401367187,-0.6033768839306302,-0.08334405440837145,0.6860741231176588,282.1704717424181,0.13738911946614582,291.7883899476793,train
12,POINT (37.48089637 -1.408468098),1,286.4847106933594,293.0767089474586,301.5078125,0.007230887973907585,87921.23852276546,-1.2778342526446107,-0.016756964847445488,1.4815556926112021,285.2298937971874,0.14058467906008484,295.14299376292894,train
13,POINT (36.997 -0.56745),1,283.20753479003906,288.81548334757485,296.05126953125,0.08040851129231896,81654.18564453124,-0.8500376184781392,-0.10126124043017626,1.0843287958039178,284.82897385491265,0.43198225233289933,290.05574253929984,train
14,POINT (37.62601476 -2.998274871),1,285.2952880859375,291.58671273125543,299.8622589111328,0.08483652545152154,86051.66203342014,-1.148869812488556,-0.09329221677035093,1.849330559041765,285.559439892239,0.23390447828504773,293.1077797571818,train
15,POINT (37.2979112 -1.4706062),1,287.61805725097656,291.67731136745874,297.55870056152344,0.15813413842712265,84395.51009657118,-1.6121873802608915,-0.08046568185091019,-0.3307006518046061,288.3672022925483,0.35104344685872396,293.5749118804932,train
16,POINT (37.44187 -1.32801),1,288.7322998046875,293.409103902181,299.0912170410156,0.1695250777820192,87347.22676323785,-1.1735636552174886,-0.08142999839037657,-0.08418101204766168,289.6562512291802,0.34224444495307077,295.3062758127848,train
17,POINT (37.405589 -0.5527545),1,286.405517578125,291.267014058431,296.59584045410156,0.2727931497911058,84669.77537434896,-1.0215033796098498,-0.10379810817539692,-0.1726724942525228,288.0992932213677,0.4658712175157335,292.06425921122235,train
18,POINT (37.3327941 -1.4047617),1,287.4193572998047,291.5769044664171,297.10218811035156,0.15438238366638046,84231.11565212674,-1.521194134818183,-0.08103489223867655,-0.4047722392612033,288.19224026997887,0.34717676374647355,293.0832425011529,train
19,POINT (37.2440674 -1.4391589),1,287.2108154296875,291.3393746270074,296.79164123535156,0.14696543499027115,83713.57676323784,-1.7269734859466552,-0.07943047676235437,-0.6189622349209256,287.9834186553955,0.34922837151421443,293.3405884212918,train
20,POINT (37.4596359 -1.2350989),1,288.7322998046875,293.409103902181,299.0912170410156,0.1695250777820192,87347.22676323785,-1.1735636552174886,-0.08142999839037657,-0.08418101204766168,289.6562512291802,0.34224444495307077,295.3062758127848,train
21,POINT (37.1616338 -1.5344537),1,287.1229248046875,291.38142649332684,297.0013427734375,0.13270088120494705,83590.05592990451,-2.0285956647660996,-0.08172126673161983,-0.7072170363532172,288.0071219974094,0.3688937717013889,293.7607869890001,train
