,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range
0,POINT (34.288866 0.499269),1,356.0,61.73469,11.975,84.330986,1649.0,43.164696,22.533333,250.0,223.0,22.65,22.916666,22.145834,51.0,631.0,15.5,269.0,21.35,29.7,14.200001
1,POINT (36.801239 -1.261967),1,86.0,122.863556,11.3,72.90323,1043.0,80.10311,20.283333,242.0,73.0,17.766666,20.7,19.3,22.0,528.0,12.3,384.0,17.583334,27.8,15.499999
2,POINT (34.9299407 0.9187688),1,432.0,86.4274,13.183333,79.898994,1203.0,50.888165,18.916666,170.0,107.0,19.55,19.966667,18.883333,25.0,452.0,11.5,278.0,17.85,28.0,16.5
3,POINT (34.138156 0.504638),1,320.0,59.460968,11.9,84.39716,1591.0,43.533962,22.9,244.0,221.0,22.983334,23.25,22.508333,54.0,609.0,15.9,265.0,21.75,30.0,14.1
4,POINT (37.6630762 -0.0869941),1,59.0,95.72292,11.05,77.27273,1691.0,98.95985,19.566666,392.0,59.0,17.883333,20.266666,19.258333,15.0,822.0,12.7,550.0,17.883333,27.0,14.3
5,POINT (37.6090933 0.4831488),1,14.0,73.612144,13.575001,81.77711,555.0,100.57668,23.316666,150.0,14.0,22.95,24.416666,23.6125,4.0,268.0,15.9,207.0,22.95,32.5,16.6
6,POINT (34.261607 0.551105),1,354.0,64.131714,11.666667,83.93285,1676.0,43.360516,22.2,254.0,229.0,22.366667,22.65,21.808334,57.0,645.0,15.3,279.0,21.016666,29.2,13.900001
7,POINT (34.105675 0.460818),1,342.0,57.424206,11.858334,85.31175,1766.0,44.906296,22.466667,276.0,243.0,22.483334,22.75,22.054167,63.0,679.0,15.5,291.0,21.316666,29.4,13.9
8,POINT (37.078103 -1.5683764),1,17.0,132.173,11.983334,71.756485,558.0,87.84272,20.183334,130.0,14.0,17.616667,20.65,19.216667,3.0,264.0,11.4,225.0,17.316666,28.1,16.7
9,POINT (36.0704836 -0.2845506),1,255.0,68.53858,14.441667,82.05493,925.0,47.63934,17.716667,160.0,113.0,17.733334,18.333334,17.429167,27.0,353.0,9.2,261.0,16.633333,26.8,17.599998
10,POINT (39.896317 -3.435616),1,185.0,122.27638,7.25,65.31532,896.0,73.85919,25.383333,226.0,68.0,26.466667,26.733334,25.283333,10.0,433.0,20.2,149.0,23.7,31.3,11.099998
11,POINT (34.175648 0.554142),1,328.0,60.382298,11.791667,83.62884,1586.0,43.338318,22.883333,241.0,217.0,22.983334,23.25,22.4875,53.0,610.0,15.9,263.0,21.716667,30.0,14.1
12,POINT (34.350563 0.697794),1,341.0,68.79924,11.866667,82.4074,1502.0,41.974377,21.8,229.0,199.0,22.033333,22.316668,21.383333,54.0,571.0,14.8,253.0,20.583332,29.2,14.400001
13,POINT (39.789663 -3.650488),1,228.0,128.95265,8.0,67.796616,1123.0,72.97516,25.9,276.0,94.0,27.1,27.333332,25.816666,17.0,542.0,20.3,231.0,24.15,32.1,11.799999
14,POINT (34.193631 0.407613),1,339.0,59.063087,11.875,84.82143,1668.0,42.657543,22.65,257.0,231.0,22.733334,23.0,22.270834,54.0,633.0,15.7,280.0,21.516666,29.7,14.000001
15,POINT (34.718649 0.791408),1,462.0,70.75755,12.575,82.730255,1476.0,45.675488,19.516666,215.0,147.0,20.016666,20.366667,19.495832,35.0,560.0,12.5,355.0,18.616667,27.7,15.200001
16,POINT (34.353459 0.375406),1,414.0,65.06408,12.133333,84.259254,1810.0,42.527603,21.95,281.0,251.0,22.616667,22.883333,22.083334,55.0,694.0,15.3,300.0,21.233334,29.7,14.400001
17,POINT (34.386351 0.565253),1,351.0,65.93585,12.208333,83.04989,1591.0,42.486877,21.916666,241.0,217.0,22.616667,22.883333,22.029167,53.0,609.0,15.2,266.0,21.2,29.9,14.7
18,POINT (34.7866426 1.0968928),1,416.0,91.885765,12.458333,79.35244,1191.0,48.57265,16.183332,160.0,110.0,18.05,18.433334,17.245834,24.0,430.0,10.3,145.0,16.133333,26.0,15.7
19,POINT (34.335819 0.552766),1,353.0,64.54238,12.141666,83.735634,1626.0,43.61562,22.433332,246.0,221.0,22.566668,22.866667,22.020834,54.0,626.0,15.3,269.0,21.216667,29.8,14.499999
20,POINT (34.572403 0.592516),1,402.0,68.37259,12.391666,83.16555,1651.0,42.526894,20.95,249.0,206.0,21.616667,21.9,21.045834,56.0,632.0,14.1,270.0,20.183334,29.0,14.9
21,POINT (36.8510154 -1.210481),1,72.0,120.82731,11.416667,73.18376,885.0,76.29817,20.333334,190.0,59.0,17.833334,20.716667,19.341667,18.0,427.0,12.3,319.0,17.65,27.9,15.599999
22,POINT (34.130802 0.275283),1,296.0,61.459526,11.6,83.45323,1615.0,43.875526,22.3,266.0,238.0,22.4,22.666666,21.9,54.0,621.0,15.3,297.0,21.116667,29.2,13.900001
23,POINT (34.204908 0.496708),1,341.0,60.80272,11.783333,84.16666,1656.0,44.028862,22.683334,254.0,224.0,22.766666,23.05,22.283333,52.0,637.0,15.7,270.0,21.5,29.7,14.000001
24,POINT (37.2611855 -1.5315163),1,12.0,134.55313,11.316667,71.174,693.0,93.452644,19.583334,163.0,11.0,17.466667,20.5,19.1,2.0,299.0,11.6,274.0,17.133333,27.5,15.9
25,POINT (34.619328 0.53956),1,427.0,69.16575,12.425,83.38927,1679.0,41.369274,20.8,245.0,210.0,21.516666,21.783333,20.929167,56.0,639.0,13.9,271.0,20.05,28.8,14.9
26,POINT (35.4640089 -0.7756736),1,231.0,74.47797,12.133333,80.888885,1219.0,41.54859,16.55,205.0,227.0,15.066667,16.883333,15.983334,64.0,487.0,9.0,267.0,15.033334,24.0,15.0
27,POINT (34.526797 0.53375),1,386.0,69.26425,12.208334,83.04989,1652.0,42.148212,21.666666,248.0,213.0,21.816666,22.083334,21.229166,55.0,630.0,14.3,275.0,20.333334,29.0,14.7
28,POINT (40.006094 -3.276447),1,189.0,118.34721,7.183334,65.90214,952.0,76.08527,24.833334,237.0,72.0,25.9,26.15,24.733334,9.0,485.0,19.8,194.0,23.2,30.7,10.900002
29,POINT (40.122393 -3.129576),1,267.0,128.87332,7.9,65.833336,1095.0,93.97491,24.983334,318.0,71.0,26.316668,26.5,24.991667,8.0,635.0,19.7,249.0,23.266666,31.7,12.0
30,POINT (36.7365136 -1.2652821),1,83.0,130.50818,11.625,72.20497,1001.0,79.719376,19.4,237.0,74.0,16.816666,19.883333,18.4625,22.0,503.0,11.2,377.0,16.616667,27.3,16.099998
31,POINT (35.4120332 -0.794748),1,253.0,74.69128,12.55,80.448715,1301.0,42.10873,16.716667,223.0,247.0,16.833334,17.116667,16.183332,71.0,521.0,8.9,277.0,15.25,24.5,15.6
32,POINT (34.6187514 0.6014712),1,448.0,68.02823,12.441667,82.94444,1702.0,43.19301,20.449999,255.0,201.0,21.05,21.333334,20.5125,53.0,657.0,13.5,266.0,19.65,28.5,15.0
33,POINT (34.134939 0.412595),1,329.0,59.58663,11.841666,84.583336,1681.0,42.241917,22.55,259.0,237.0,22.583334,22.866667,22.1375,59.0,630.0,15.5,287.0,21.366667,29.5,14.0
