,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
0,POINT (34.105675 0.460818),1,22.0,63.0,29.0,15.0,1.0,1.0,train
1,POINT (34.150935 0.450892),1,22.0,57.0,29.0,15.0,1.0,2.0,train
2,POINT (39.4235019 -4.3741836),1,27.0,28.0,31.0,22.0,2.0,2.0,train
3,POINT (36.1867264 -0.2658143),1,16.0,25.0,24.0,7.0,1.0,2.0,train
4,POINT (35.89853636 -0.96993428),1,16.0,62.0,24.0,8.0,1.0,3.0,train
5,POINT (36.0704836 -0.2845506),1,18.0,37.0,26.0,9.0,1.0,2.0,train
6,POINT (36.09 -0.2),1,18.0,35.0,26.0,9.0,1.0,2.0,train
7,POINT (39.720753 -3.903322),1,27.0,58.0,32.0,23.0,2.0,2.0,train
8,POINT (37.235621 -0.5599069),1,21.0,90.0,28.0,14.0,1.0,2.0,train
9,POINT (37.078103 -1.5683764),1,20.0,130.0,25.0,15.0,1.0,3.0,train
10,POINT (34.7535775 0.2846143),1,20.0,283.0,25.0,14.0,1.0,2.0,train
11,POINT (37.0088383 -0.460745),1,18.0,200.0,24.0,13.0,1.0,2.0,train
12,POINT (37.0999733 -1.50781),1,20.0,138.0,25.0,15.0,1.0,2.0,train
13,POINT (36.7825261 -1.8546139),1,20.0,121.0,25.0,15.0,1.0,3.0,train
14,POINT (39.789663 -3.650488),1,25.0,276.0,29.0,22.0,2.0,3.0,train
15,POINT (34.335819 0.552766),1,21.0,246.0,27.0,16.0,2.0,2.0,train
16,POINT (40.006094 -3.276447),1,24.0,237.0,27.0,21.0,2.0,4.0,train
17,POINT (40.122393 -3.129576),1,24.0,318.0,28.0,21.0,2.0,3.0,train
18,POINT (39.766704 -3.900834),1,25.0,255.0,29.0,22.0,2.0,4.0,train
19,POINT (34.28713 0.645349),1,22.0,220.0,27.0,17.0,2.0,1.0,train
20,POINT (34.36764 0.602632),1,22.0,242.0,27.0,16.0,2.0,1.0,train
21,POINT (34.235507 0.465357),1,22.0,259.0,27.0,16.0,2.0,2.0,train
22,POINT (34.220922 0.539806),1,21.0,233.0,26.0,16.0,1.0,2.0,train
23,POINT (40.047128 -3.266117),1,24.0,276.0,28.0,21.0,2.0,3.0,train
24,POINT (34.330169 0.629064),1,22.0,244.0,27.0,16.0,2.0,2.0,train
25,POINT (34.352027 0.452256),1,22.0,265.0,27.0,16.0,2.0,2.0,train
