,geometry,class,tavg,prec,tmax,tmin,vapr,wind
0,POINT (34.288866 0.499269),1,22.141668,137.41667,28.133333,16.158333,1.8808333,2.3083332
1,POINT (36.801239 -1.261967),1,19.291668,86.916664,24.949999,13.650001,1.4800001,2.2749999
2,POINT (34.9299407 0.9187688),1,18.883333,100.25,25.475,12.291665,1.5450001,2.116667
3,POINT (34.138156 0.504638),1,22.5,132.58333,28.458336,16.558334,1.9383335,2.5000002
4,POINT (37.6630762 -0.0869941),1,19.258333,140.91667,24.783335,13.733334,1.6091667,2.7583332
5,POINT (37.6090933 0.4831488),1,23.608332,46.25,30.4,16.824999,1.7850002,3.0416667
6,POINT (34.261607 0.551105),1,21.833334,139.66667,27.641668,15.974999,1.8416667,2.5083334
7,POINT (34.105675 0.460818),1,22.041666,147.16667,27.983335,16.125,1.8974999,2.325
8,POINT (37.078103 -1.5683764),1,19.225,46.5,25.208334,13.224999,1.5391668,2.9666665
9,POINT (36.0704836 -0.2845506),1,17.433332,77.083336,24.650002,10.208333,1.3899999,2.4083333
10,POINT (39.896317 -3.435616),1,25.275002,74.666664,28.908333,21.658335,2.5725002,3.675
11,POINT (34.175648 0.554142),1,22.483332,132.16667,28.383331,16.591667,1.9275001,2.5500002
12,POINT (34.350563 0.697794),1,21.383333,125.166664,27.316666,15.45,1.7883334,2.2166665
13,POINT (39.789663 -3.650488),1,25.816671,93.583336,29.816668,21.816668,2.5791667,3.2583332
14,POINT (34.193631 0.407613),1,22.291666,139.0,28.208334,16.333334,1.9074999,2.6083336
15,POINT (34.718649 0.791408),1,19.483332,123.0,25.783333,13.208335,1.6041666,2.1
16,POINT (34.353459 0.375406),1,22.066668,150.83333,28.150002,16.016666,1.8566669,2.5166667
17,POINT (34.386351 0.565253),1,22.025002,132.58333,28.133333,15.925002,1.8458334,2.2749999
18,POINT (34.7866426 1.0968928),1,17.25,99.25,23.474998,11.016667,1.4083333,2.1000001
19,POINT (34.335819 0.552766),1,22.033335,135.5,28.091667,15.950001,1.8558335,2.2833333
20,POINT (34.572403 0.592516),1,21.050001,137.58333,27.241669,14.850001,1.7358333,2.35
21,POINT (36.8510154 -1.210481),1,19.35,73.75,25.050001,13.633334,1.5016667,2.9083335
22,POINT (34.130802 0.275283),1,21.908335,134.58333,27.699999,16.1,1.8749999,2.4666667
23,POINT (34.204908 0.496708),1,22.283333,138.0,28.175001,16.391668,1.9,2.5583332
24,POINT (37.2611855 -1.5315163),1,19.1,57.75,24.758333,13.441666,1.5558333,2.8999999
25,POINT (34.619328 0.53956),1,20.941668,139.91667,27.141668,14.716667,1.7275,2.3416667
26,POINT (35.4640089 -0.7756736),1,15.991666,101.583336,22.049997,9.916667,1.3133334,2.3083332
27,POINT (34.526797 0.53375),1,21.241667,137.66667,27.333334,15.124999,1.7550001,2.2833333
28,POINT (40.006094 -3.276447),1,24.733332,79.333336,28.325003,21.141668,2.5600002,3.5
29,POINT (40.122393 -3.129576),1,24.991667,91.25,28.941666,21.041666,2.5708334,3.45
30,POINT (36.7365136 -1.2652821),1,18.458334,83.416664,24.275002,12.650001,1.4233333,2.7749999
31,POINT (35.4120332 -0.794748),1,16.175001,108.416664,22.458334,9.908334,1.3091667,2.4499996
32,POINT (34.6187514 0.6014712),1,20.508333,141.83333,26.733335,14.291668,1.6908336,2.3833334
33,POINT (34.134939 0.412595),1,22.125002,140.08333,28.058332,16.216665,1.9025,2.4750001
34,POINT (39.766704 -3.900834),1,26.033333,88.75,29.891668,22.175001,2.6266668,3.75
35,POINT (34.28713 0.645349),1,22.466667,121.916664,28.516668,16.4,1.9049999,2.3
36,POINT (34.172837 0.357263),1,22.108335,141.58333,27.991669,16.225,1.8924998,2.466667
37,POINT (34.36764 0.602632),1,22.216667,128.83333,28.316664,16.15,1.8675002,2.2166665
38,POINT (39.978629 -3.173256),1,25.025002,79.416664,28.958336,21.1,2.5349998,3.0333335
39,POINT (36.379493 0.277717),1,16.433334,65.583336,23.816666,9.05,1.3275,2.3
40,POINT (34.235507 0.465357),1,22.116669,144.5,28.083334,16.166664,1.8816665,2.5666668
