,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
0,POINT (34.288866 0.499269),1,22.141668,137.41667,28.133333,16.158333,1.8808333,2.3083332,train
1,POINT (34.138156 0.504638),1,22.5,132.58333,28.458336,16.558334,1.9383335,2.5000002,train
2,POINT (34.261607 0.551105),1,21.833334,139.66667,27.641668,15.974999,1.8416667,2.5083334,train
3,POINT (34.105675 0.460818),1,22.041666,147.16667,27.983335,16.125,1.8974999,2.325,train
4,POINT (37.078103 -1.5683764),1,19.225,46.5,25.208334,13.224999,1.5391668,2.9666665,train
5,POINT (36.0704836 -0.2845506),1,17.433332,77.083336,24.650002,10.208333,1.3899999,2.4083333,train
6,POINT (34.175648 0.554142),1,22.483332,132.16667,28.383331,16.591667,1.9275001,2.5500002,train
7,POINT (34.350563 0.697794),1,21.383333,125.166664,27.316666,15.45,1.7883334,2.2166665,train
8,POINT (39.789663 -3.650488),1,25.816671,93.583336,29.816668,21.816668,2.5791667,3.2583332,train
9,POINT (34.386351 0.565253),1,22.025002,132.58333,28.133333,15.925002,1.8458334,2.2749999,train
10,POINT (34.7866426 1.0968928),1,17.25,99.25,23.474998,11.016667,1.4083333,2.1000001,train
11,POINT (34.335819 0.552766),1,22.033335,135.5,28.091667,15.950001,1.8558335,2.2833333,train
12,POINT (34.204908 0.496708),1,22.283333,138.0,28.175001,16.391668,1.9,2.5583332,train
13,POINT (37.2611855 -1.5315163),1,19.1,57.75,24.758333,13.441666,1.5558333,2.8999999,train
14,POINT (40.006094 -3.276447),1,24.733332,79.333336,28.325003,21.141668,2.5600002,3.5,train
15,POINT (40.122393 -3.129576),1,24.991667,91.25,28.941666,21.041666,2.5708334,3.45,train
16,POINT (39.766704 -3.900834),1,26.033333,88.75,29.891668,22.175001,2.6266668,3.75,train
17,POINT (34.28713 0.645349),1,22.466667,121.916664,28.516668,16.4,1.9049999,2.3,train
18,POINT (34.36764 0.602632),1,22.216667,128.83333,28.316664,16.15,1.8675002,2.2166665,train
19,POINT (34.235507 0.465357),1,22.116669,144.5,28.083334,16.166664,1.8816665,2.5666668,train
20,POINT (34.220922 0.539806),1,21.691666,133.33333,27.508333,15.866668,1.8341666,2.3166666,train
21,POINT (40.047128 -3.266117),1,24.808332,85.0,28.575003,21.050001,2.5625002,3.4000003,train
22,POINT (35.383911 1.563338),1,19.416666,73.166664,25.566666,13.266666,1.5191666,2.1833332,train
23,POINT (34.330169 0.629064),1,22.308334,131.58333,28.308332,16.308334,1.8825,2.5583334,train
24,POINT (34.266297 0.422932),1,22.241667,143.16667,28.25,16.258333,1.8916665,2.5583336,train
25,POINT (40.011545 -3.225757),1,24.658333,84.166664,28.283333,20.991667,2.5316665,3.1499996,train
26,POINT (39.720753 -3.903322),1,25.899996,95.916664,29.891665,21.933334,2.5883334,3.3083334,train
27,POINT (34.7535775 0.2846143),1,20.025,168.5,26.124998,13.883334,1.6458334,2.5916665,train
28,POINT (34.352027 0.452256),1,22.166666,140.41667,28.191668,16.133333,1.8699999,2.3166666,train
29,POINT (35.745971 0.075945),1,17.191668,91.5,23.933336,10.466666,1.3325,2.4916666,train
30,POINT (34.8487923 1.083059),1,18.408335,90.083336,25.200003,11.616666,1.4983333,2.025,train
31,POINT (40.00566 -3.332285),1,25.0,74.5,28.5,21.491667,2.5916665,3.6916666,train
32,POINT (37.0088383 -0.460745),1,17.725,86.416664,23.73333,11.666667,1.4591666,2.608333,train
33,POINT (34.308392 0.684313),1,22.066666,123.0,28.016668,16.091667,1.8583336,2.3333333,train
34,POINT (40.093899 -3.214996),1,24.641665,87.833336,28.383333,20.891668,2.5808334,3.5833337,train
35,POINT (35.470147 0.791689),1,16.349998,88.416664,22.724998,9.966666,1.3225,2.2583337,train
36,POINT (39.867073 -3.581976),1,25.974998,81.833336,29.941668,22.041666,2.6008332,3.675,train
37,POINT (34.20655 0.582841),1,22.5,130.5,28.4,16.6,1.9216666,2.5583336,train
38,POINT (35.4120133 0.7948652),1,16.708334,81.25,23.308332,10.066667,1.3449999,2.0500002,train
39,POINT (34.456389 0.510477),1,21.633331,137.58333,27.716667,15.575001,1.8024999,2.2583332,train
40,POINT (34.404323 0.752063),1,21.549997,121.416664,27.641665,15.458335,1.7966666,2.3,train
41,POINT (37.0999733 -1.50781),1,19.325,49.083332,25.291666,13.349998,1.5383334,2.8583333,train
42,POINT (34.150935 0.450892),1,22.183334,142.0,28.133333,16.225,1.9025,2.4666667,train
43,POINT (34.8284382 1.1295951),1,18.241667,90.0,24.958334,11.533333,1.4808332,2.0166667,train
44,POINT (34.415491 0.602451),1,21.924997,134.5,28.066666,15.808334,1.8275,2.3666666,train
45,POINT (37.068166 -0.248928),1,15.858334,78.75,22.641668,9.058333,1.3608332,2.1833334,train
46,POINT (36.09 -0.2),1,17.300001,76.833336,24.441666,10.166666,1.3841667,2.5000002,train
47,POINT (38.00522 -1.370085),1,21.483332,70.166664,26.675003,16.291666,1.7866665,3.0500002,train
48,POINT (37.755668 0.055943),1,21.191668,107.416664,27.016665,15.383335,1.7275,2.5916667,train
49,POINT (37.6343055 -1.8444747),1,21.466665,63.083332,26.950003,16.016666,1.7591667,2.991667,train
50,POINT (34.8147082 0.07726249),1,19.666666,165.58333,25.558334,13.766666,1.5708333,2.508333,train
51,POINT (37.5872072 -1.8708834),1,21.416666,63.333332,26.741667,16.066668,1.7666665,2.908333,train
52,POINT (36.8757767 1.176886),1,19.7,56.083332,26.075003,13.341667,1.6066669,2.575,train
53,POINT (34.9971321 0.8166174),1,18.891666,101.666664,25.441666,12.383334,1.5375,2.1666665,train
54,POINT (37.747555 -1.8041),1,22.466665,56.333332,28.008333,16.883335,1.8283335,3.0666668,train
55,POINT (34.7689 0.93371),1,16.366667,104.75,22.366667,10.358334,1.3508334,2.0249999,train
56,POINT (37.32643 -0.57318),1,20.441668,93.0,26.341665,14.541667,1.6558332,2.8666666,train
57,POINT (37.4541 -0.5365),1,19.85,101.75,25.5,14.216668,1.6408333,2.6083333,train
58,POINT (37.46408 -0.47389),1,18.133333,125.583336,23.608332,12.658333,1.5633334,2.7166665,train
59,POINT (36.1651 -0.176445),1,15.616666,86.5,22.441666,8.775001,1.2975,2.25,train
60,POINT (37.4569 -0.41337),1,17.791666,143.66667,23.366669,12.225001,1.5041667,2.675,train
61,POINT (37.05557279 -0.53427365),1,17.966667,109.416664,23.750002,12.158333,1.4891666,2.675,train
62,POINT (36.2225 -0.115301),1,13.558333,97.416664,19.791666,7.308333,1.1858333,2.375,train
63,POINT (36.105 -0.15732),1,17.199999,81.166664,24.391668,10.041666,1.3833333,2.4333332,train
64,POINT (36.11021 -0.25034),1,16.883333,72.5,24.133331,9.633332,1.3683333,2.2916667,train
65,POINT (37.48089637 -1.408468098),1,20.866665,59.75,26.441666,15.283334,1.6850001,2.9083335,train
66,POINT (37.5034388 -2.9300924),1,17.933332,84.583336,23.658333,12.2,1.5791668,2.8833332,train
67,POINT (36.997 -0.56745),1,17.283333,115.0,23.116667,11.441667,1.44,2.6583335,train
68,POINT (37.62601476 -2.998274871),1,20.358334,94.0,26.341665,14.399999,1.7141668,2.925,train
69,POINT (37.2979112 -1.4706062),1,17.083334,107.666664,22.266665,11.916668,1.4375,2.6833334,train
70,POINT (37.44187 -1.32801),1,21.041666,60.25,26.558332,15.55,1.7008332,2.8416665,train
71,POINT (37.405589 -0.5527545),1,19.858332,94.916664,25.675001,14.058333,1.6341667,2.8,train
72,POINT (37.3327941 -1.4047617),1,20.258333,57.5,25.716665,14.825,1.6433333,2.8500001,train
73,POINT (37.2440674 -1.4391589),1,18.525002,71.083336,23.958334,13.041668,1.5124999,2.9416666,train
74,POINT (37.4596359 -1.2350989),1,21.366667,59.5,26.9,15.774999,1.7208333,2.8333333,train
75,POINT (37.1616338 -1.5344537),1,18.966667,53.416668,24.866667,13.041668,1.5258335,2.916667,train
76,POINT (37.2547153 -1.3774947),1,19.641666,58.166668,25.333334,13.966667,1.5775,2.8,train
77,POINT (37.4149686 -0.4487697),1,18.05,136.0,23.708334,12.399999,1.5316666,2.641667,train
78,POINT (39.4235019 -4.3741836),1,25.683334,107.833336,29.733335,21.608332,2.5774999,3.1083333,train
