,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1
0,POINT (34.288866 0.499269),1,288.50179873572455,294.7716149186663,302.4790725708008,0.13431033132216297,87513.68717864825,-0.026132789856751968,-0.0898234199719607,-0.09861827422033655,289.5895010746199,0.3447617034693627,295.8781277518138
1,POINT (36.801239 -1.261967),1,285.66146500905353,292.24055409488693,300.22641531626385,0.05477655846864941,83464.36444456194,-1.9311387338553887,-0.0527005538266773,-0.47951338237336827,285.29245682774604,0.21269411142817646,294.30496873774024
2,POINT (34.9299407 0.9187688),1,284.0989059872097,290.3188573804156,297.6252212524414,0.14121107076430614,80190.3876315846,-0.7284493042568876,-0.08928332935061513,-0.6673230277167419,284.00223447479914,0.396424231094914,292.0738071859282
3,POINT (34.138156 0.504638),1,288.9160510169135,294.89601694972987,302.3316701253255,0.1589496981376505,87902.81124968847,-0.10816817323536264,-0.09244594814824975,0.10811395997007317,290.16902569198066,0.36436690878162337,296.02982903780935
4,POINT (37.6630762 -0.0869941),1,284.89534759521484,290.7993808335559,297.3350314034356,0.16908611364695061,82856.82484842552,-0.6791437868645447,-0.11531430679476923,0.7903071712590266,285.98868524723184,0.3156139648468177,291.8767755109733
5,POINT (37.6090933 0.4831488),1,289.3057001961602,296.2092328944144,303.9489858415392,0.028243918667561103,88510.62449947366,-1.2731411375114972,-0.027615190522434812,1.3444046368650309,286.45101209711925,0.141493332411216,299.5614832566793
6,POINT (34.261607 0.551105),1,288.9160510169135,294.89601694972987,302.3316701253255,0.1589496981376505,87902.81124968847,-0.10816817323536264,-0.09244594814824975,0.10811395997007317,290.16902569198066,0.36436690878162337,296.02982903780935
7,POINT (37.078103 -1.5683764),1,286.2698252995809,292.2560066555972,299.80412260691327,0.06861410675188861,83918.47726877886,-1.7526967136499063,-0.0631257864426718,-0.02993303140299075,285.9178761004561,0.250256182326219,295.5540370681803
8,POINT (36.0704836 -0.2845506),1,283.255666202969,290.69941950932326,298.33787483639185,0.10991851666974653,79752.46543441914,-0.4054499162808064,-0.09802345902426168,-0.016907325755614298,283.67232797590674,0.2738422287587936,291.88535092847684
9,POINT (39.896317 -3.435616),1,296.2065102259318,299.2383295109125,302.928497950236,0.07769995940467678,100616.24170218148,-1.3116172700263329,-0.07762271151619239,3.1825422429776618,295.12217440511256,0.1506597399229727,300.3165338704193
10,POINT (34.175648 0.554142),1,288.9160510169135,294.89601694972987,302.3316701253255,0.1589496981376505,87902.81124968847,-0.10816817323536264,-0.09244594814824975,0.10811395997007317,290.16902569198066,0.36436690878162337,296.02982903780935
11,POINT (34.350563 0.697794),1,287.465007464091,294.2206208697653,301.27131949530707,0.2142684629107445,87298.27043023544,0.029139951840964066,-0.0875707682247998,-0.36621137086069344,289.2598450530252,0.36379685323184296,294.6733476468073
12,POINT (39.789663 -3.650488),1,296.31937355465357,299.2725991136784,303.1078568564521,0.08104120756014482,100744.08759537005,-1.259420088766766,-0.07704789327302326,3.0052790561808056,295.1353520520185,0.2434315502261214,301.4751152599048
13,POINT (34.193631 0.407613),1,289.2584696875678,294.9159451033389,302.4117028978136,0.14722993108165888,87784.6214137045,-0.1272098348730767,-0.103314818503956,0.19160278461896993,290.3034687522798,0.35954939190667645,296.23592955529887
14,POINT (34.718649 0.791408),1,285.70399877760144,292.686021033101,300.5083262125651,0.20964954831980298,83261.32731625543,-0.7191736200326229,-0.08785587829899871,-0.4860356357796116,286.29954126295956,0.44122638735463604,292.68831749162035
15,POINT (34.353459 0.375406),1,288.7092465294732,294.9105438648556,302.93817308213977,0.11999353530745667,87568.11848049764,-0.0684391773592153,-0.10472575877793133,0.017688536738511347,289.7141714471481,0.313034365675432,296.38267096259244
16,POINT (34.386351 0.565253),1,288.0962426927355,294.6198936040466,302.51843134562176,0.119161391084717,86797.26933820767,-0.06979746884903314,-0.0849661673613203,-0.09188572025184309,288.8274557136411,0.33496756150389845,295.68117192484664
17,POINT (34.7866426 1.0968928),1,286.6934479607476,291.7807522975377,298.3659436967638,0.1568025407715734,81281.98914041527,-1.0267827881698568,-0.0892059342457085,-0.5464157490779177,284.549592431268,0.41558246474035765,291.766800895256
18,POINT (34.335819 0.552766),1,288.50179873572455,294.7716149186663,302.4790725708008,0.13431033132216297,87513.68717864825,-0.026132789856751968,-0.0898234199719607,-0.09861827422033655,289.5895010746199,0.3447617034693627,295.8781277518138
19,POINT (34.572403 0.592516),1,286.95771651797827,293.71064537619554,301.90068191952173,0.13773463570441766,84488.32874730258,-0.3375805990547201,-0.08236131909587938,-0.15483112666134952,286.8462852000696,0.34877250318788605,294.2258739217569
20,POINT (36.8510154 -1.210481),1,285.08048227098254,291.4422186481152,299.08352873060437,0.06088540472536579,82710.13063773546,-1.752620520628125,-0.05638557644043532,-0.4562435045075095,285.2591831258301,0.3245902165354982,293.13069178445835
21,POINT (34.130802 0.275283),1,289.54024505615234,294.85322047179017,302.0489106708103,0.16755133057252528,87680.18758478772,-0.13919981795689515,-0.1101381514648286,0.18011613638866825,290.54931859278645,0.367411678872517,295.82063903739316
22,POINT (34.204908 0.496708),1,288.9160510169135,294.89601694972987,302.3316701253255,0.1589496981376505,87902.81124968847,-0.10816817323536264,-0.09244594814824975,0.10811395997007317,290.16902569198066,0.36436690878162337,296.02982903780935
23,POINT (37.2611855 -1.5315163),1,285.7232331169976,291.8502236398512,299.2230583826701,0.07074632239249973,83410.3415187177,-1.6038282411850817,-0.06437926611397415,0.09525416097909672,285.6288655534293,0.248505513010038,293.8682503885922
24,POINT (34.619328 0.53956),1,287.49614885118274,294.2389335755814,302.70034938388403,0.09449085409268038,85114.21270182589,-0.26132672649103855,-0.07817362382775173,0.007292616744683842,287.11722218693865,0.31545560678748275,295.22501559672094
25,POINT (35.4640089 -0.7756736),1,283.5611346562703,289.8056967988156,297.1799481709798,0.16968244125064177,78645.68352362052,-1.4285277460187351,-0.11023272581062177,0.32842397717527866,283.46790032025467,0.402730470472493,291.471909082074
26,POINT (34.526797 0.53375),1,287.49614885118274,294.2389335755814,302.70034938388403,0.09449085409268038,85114.21270182589,-0.26132672649103855,-0.07817362382775173,0.007292616744683842,287.11722218693865,0.31545560678748275,295.22501559672094
27,POINT (40.006094 -3.276447),1,296.41172419654,299.5054695733474,303.36501057942706,0.07124470057619242,100938.37524003052,-1.268537807653834,-0.09676318951339151,3.035178210625953,295.20080410035445,0.22460394804513514,300.9763927747358
28,POINT (40.122393 -3.129576),1,296.6477334764269,299.4497939038129,302.7594887415568,0.07414234602649307,100900.78412238377,-1.4957990851989469,-0.08633485089780556,3.4951151774156552,295.31388577670845,0.143244512001461,301.1993534393241
29,POINT (36.7365136 -1.2652821),1,284.86260265774195,291.3797165671107,299.10173426734076,0.06033576452930069,81716.95805381572,-1.8701887783763493,-0.05696169984164751,-0.3357121240266824,284.36505227297886,0.31347467564215714,292.4921112212814
30,POINT (35.4120332 -0.794748),1,283.5611346562703,289.8056967988156,297.1799481709798,0.16968244125064177,78645.68352362052,-1.4285277460187351,-0.11023272581062177,0.32842397717527866,283.46790032025467,0.402730470472493,291.471909082074
31,POINT (34.6187514 0.6014712),1,286.95771651797827,293.71064537619554,301.90068191952173,0.13773463570441766,84488.32874730258,-0.3375805990547201,-0.08236131909587938,-0.15483112666134952,286.8462852000696,0.34877250318788605,294.2258739217569
32,POINT (34.134939 0.412595),1,289.2584696875678,294.9159451033389,302.4117028978136,0.14722993108165888,87784.6214137045,-0.1272098348730767,-0.103314818503956,0.19160278461896993,290.3034687522798,0.35954939190667645,296.23592955529887
33,POINT (39.766704 -3.900834),1,295.6503842671712,299.29148128992836,304.33520242902966,0.07944014593163426,100522.79085432344,-0.862133856187404,-0.07945697726164427,2.243622472559554,294.82947939636404,0.23404043341858952,301.28702317003984
34,POINT (34.28713 0.645349),1,287.96048895517987,294.5128114134523,301.880125257704,0.16997834199037118,87329.31186215067,-0.00012087168088406173,-0.08956925339427674,-0.2296317823887836,289.3681987579791,0.35116294423871236,295.20580264553587
35,POINT (34.172837 0.357263),1,289.2584696875678,294.9159451033389,302.4117028978136,0.14722993108165888,87784.6214137045,-0.1272098348730767,-0.103314818503956,0.19160278461896993,290.3034687522798,0.35954939190667645,296.23592955529887
36,POINT (34.36764 0.602632),1,287.51346990797254,294.24916493576006,301.759418381585,0.15876461298754774,86505.32862744592,-0.0492139141699065,-0.08322483222259001,-0.24471827232136445,288.61929116977416,0.35732353837848446,294.96986672485014
37,POINT (39.978629 -3.173256),1,296.20830885569256,299.56425547045677,304.0387768215603,0.06629763147515683,100868.69607596258,-1.2130634800672366,-0.06440929225128558,2.8660119014356926,295.0826921546237,0.17774275718725746,302.0792906428966
38,POINT (36.379493 0.277717),1,283.36812665727405,290.2984042286098,298.0469335979885,0.16984422155377893,79166.51349441148,-1.1636228118665537,-0.10289663709570757,0.1543462017212518,283.39651082277385,0.38455998030071653,293.81784139781826
39,POINT (34.235507 0.465357),1,289.2584696875678,294.9159451033389,302.4117028978136,0.14722993108165888,87784.6214137045,-0.1272098348730767,-0.103314818503956,0.19160278461896993,290.3034687522798,0.35954939190667645,296.23592955529887
40,POINT (34.220922 0.539806),1,288.9160510169135,294.89601694972987,302.3316701253255,0.1589496981376505,87902.81124968847,-0.10816817323536264,-0.09244594814824975,0.10811395997007317,290.16902569198066,0.36436690878162337,296.02982903780935
41,POINT (35.383911 1.563338),1,285.9411962297228,293.66511510625526,300.9951940112644,0.1325379306577904,83270.94811659124,-0.7042251175385327,-0.0883801145116902,-0.12108382061092647,284.02688117214416,0.15055151274613782,294.942159216816
42,POINT (36.8007417 -1.14803),1,285.08048227098254,291.4422186481152,299.08352873060437,0.06088540472536579,82710.13063773546,-1.752620520628125,-0.05638557644043532,-0.4562435045075095,285.2591831258301,0.3245902165354982,293.13069178445835
43,POINT (34.330169 0.629064),1,287.96048895517987,294.5128114134523,301.880125257704,0.16997834199037118,87329.31186215067,-0.00012087168088406173,-0.08956925339427674,-0.2296317823887836,289.3681987579791,0.35116294423871236,295.20580264553587
44,POINT (34.9694373 0.9027378),1,284.0989059872097,290.3188573804156,297.6252212524414,0.14121107076430614,80190.3876315846,-0.7284493042568876,-0.08928332935061513,-0.6673230277167419,284.00223447479914,0.396424231094914,292.0738071859282
45,POINT (34.266297 0.422932),1,289.2584696875678,294.9159451033389,302.4117028978136,0.14722993108165888,87784.6214137045,-0.1272098348730767,-0.103314818503956,0.19160278461896993,290.3034687522798,0.35954939190667645,296.23592955529887
46,POINT (34.8711783 0.8730617),1,285.1917953491211,292.0769689694058,299.84218883514404,0.08500266005007057,82227.38727754814,-0.9780267887430737,-0.07449399031853925,-0.62555159775586,284.3957747013834,0.36581155288476075,293.00833432014247
47,POINT (40.011545 -3.225757),1,296.20830885569256,299.56425547045677,304.0387768215603,0.06629763147515683,100868.69607596258,-1.2130634800672366,-0.06440929225128558,2.8660119014356926,295.0826921546237,0.17774275718725746,302.0792906428966
48,POINT (39.720753 -3.903322),1,295.6503842671712,299.29148128992836,304.33520242902966,0.07944014593163426,100522.79085432344,-0.862133856187404,-0.07945697726164427,2.243622472559554,294.82947939636404,0.23404043341858952,301.28702317003984
49,POINT (34.7535775 0.2846143),1,287.30240207248266,294.20979258172343,302.31743876139325,0.13700244619440002,86204.3051731609,-0.17874424607115771,-0.10562028091064551,-0.007044207736696836,288.7328415612973,0.3720581167098534,295.11191345906735
50,POINT (34.352027 0.452256),1,288.7092465294732,294.9105438648556,302.93817308213977,0.11999353530745667,87568.11848049764,-0.0684391773592153,-0.10472575877793133,0.017688536738511347,289.7141714471481,0.313034365675432,296.38267096259244
51,POINT (34.26213 0.357372),1,289.2584696875678,294.9159451033389,302.4117028978136,0.14722993108165888,87784.6214137045,-0.1272098348730767,-0.103314818503956,0.19160278461896993,290.3034687522798,0.35954939190667645,296.23592955529887
52,POINT (36.272508 0.1490446),1,282.6550065146552,289.77161067061996,297.5986213684082,0.21188229557573096,78923.58939445831,-1.065616685345579,-0.1063560734813412,-0.09063993890845111,283.628370136059,0.41019730225450357,291.13549983099637
53,POINT (35.0279743 1.0062866),1,284.34378306070965,290.063964074329,297.14968988630505,0.15328814495180343,80001.3650465476,-0.6853308740082754,-0.08536321619370331,-0.7100814083888656,284.185455301062,0.41795002103883916,291.44462179532155
54,POINT (35.745971 0.075945),1,283.67869620853,291.0224739341825,298.7891067928738,0.09654974986314074,80031.98790300191,-0.34399871899745127,-0.07990035346786802,-0.2688062550835022,283.47236805558964,0.2009193008816623,293.36183177526715
55,POINT (35.3971826 -0.8499149),1,283.8571427663167,290.3968268241626,297.92717944251166,0.14367216838142238,79592.83157920341,-1.2310817156898668,-0.1047627728484157,0.34465122818417215,284.0136674885313,0.3998990470633477,291.9995371428959
56,POINT (34.8487923 1.083059),1,285.9945338567098,291.69163867229344,298.58095190260144,0.07826189507659238,81369.21339901836,-1.0333836889459478,-0.06942649093818748,-0.5997553237074097,283.8539210364177,0.3802882729875588,292.4002977474371
57,POINT (34.769073 0.742881),1,285.4371336830987,292.3309898927533,300.04564073350696,0.13626938817434142,82670.53403609467,-0.9236295013484246,-0.08153680910537434,-0.5852489933974121,285.25586454601427,0.4226674279290226,292.57988878519154
