name,sensitivity,specificity,precision,accuracy,f1_score,auc,ytrain0_size,ytrain1_size,ytest0_size,ytest1_size
bg1uniform_raswcbioclim,0.5474452554744526,0.9297893681043129,0.5172413793103449,0.8835978835978836,0.5319148936170213,0.8951526111180255,999,109,997,137
bg1uniform_rasera5land,0.44776119402985076,0.934077079107505,0.48,0.8758928571428571,0.46332046332046334,0.8867276195089462,994,107,986,134
bg1uniform_raswcmonthlybg,0.5620437956204379,0.9297893681043129,0.5238095238095238,0.8853615520282186,0.5422535211267606,0.9099707882772405,999,109,997,137
bg1uniform_raswcmonthly,1.0,0.9227683049147443,0.6401869158878505,0.9320987654320988,0.7806267806267806,0.998887172466304,999,109,997,137
bg1uniform_rasera5yearmonthly,0.7518796992481203,0.949290060851927,0.6666666666666666,0.9258266309204647,0.7067137809187279,0.9332153914197258,994,106,986,133
bg2lai_raswcbioclim,0.6595744680851063,0.8444227005870841,0.36904761904761907,0.82201203783319,0.4732824427480916,0.8505780627610997,974,105,1022,141
bg2lai_rasera5land,0.5177304964539007,0.8935546875,0.4010989010989011,0.848068669527897,0.4520123839009288,0.8458554964539007,975,100,1024,141
bg2lai_raswcmonthlybg,0.6950354609929078,0.8365949119373777,0.36981132075471695,0.819432502149613,0.4827586206896552,0.8675035738574066,974,105,1022,141
bg2lai_raswcmonthly,1.0,0.9334637964774951,0.6746411483253588,0.9415305245055889,0.8057142857142857,0.9997779350737672,974,105,1022,141
bg2lai_rasera5yearmonthly,0.7571428571428571,0.9404296875,0.6347305389221557,0.9183848797250859,0.6905537459283387,0.9184709821428572,975,99,1024,140
bg3meanA3yr_raswcbioclim,0.5620437956204379,0.7325702393340271,0.23053892215568864,0.7112932604735883,0.32696390658174096,0.7170906218431227,968,109,961,137
bg3meanA3yr_rasera5land,0.34306569343065696,0.7617521367521367,0.17407407407407408,0.7082945013979497,0.23095823095823095,0.6000101378751013,959,104,936,137
bg3meanA3yr_raswcmonthlybg,0.656934306569343,0.5650364203954215,0.17716535433070865,0.5765027322404371,0.27906976744186046,0.6582939000584853,968,109,961,137
bg3meanA3yr_raswcmonthly,1.0,0.9427679500520292,0.7135416666666666,0.9499089253187614,0.8328267477203647,0.9995518658331877,968,109,961,137
bg3meanA3yr_rasera5yearmonthly,0.8382352941176471,0.8397435897435898,0.4318181818181818,0.8395522388059702,0.57,0.8837080505279036,959,103,936,136
