,thindist,background,climate,sensitivity,specificity,auc_checker,auc_ext,condition,gridsize
0,thinned3km,bg1uniform,era5land,0.4672131147540984,0.9412731006160164,0.9132224728178544,0.8930713025951121,thinned3km_bg1uniform_era5land,0.3
0,thinned3km,bg1uniform,era5yearmonthly,0.7704918032786885,0.9704312114989732,0.955252970680311,0.9145857844131609,thinned3km_bg1uniform_era5yearmonthly,0.3
0,thinned3km,bg1uniform,wcbioclim,0.5737704918032787,0.9580983078162773,0.9347994081980422,0.9232398841889696,thinned3km_bg1uniform_wcbioclim,0.3
0,thinned3km,bg1uniform,wcmonthly,1.0,0.970173317210802,0.9993954050785974,0.999466453247966,thinned3km_bg1uniform_wcmonthly,0.3
0,thinned3km,bg1uniform,wcmonthlybg,0.7377049180327869,0.9193873438129786,0.9323712675349046,0.8626980203846244,thinned3km_bg1uniform_wcmonthlybg,0.3
0,thinned3km,bg2lai,era5land,0.496,0.9129070223617104,0.8852899176147508,0.8335651297556058,thinned3km_bg2lai_era5land,0.3
0,thinned3km,bg2lai,era5yearmonthly,0.76,0.975676735974892,0.9281883091408396,0.8777333766075702,thinned3km_bg2lai_era5yearmonthly,0.3
0,thinned3km,bg2lai,wcbioclim,0.624,0.9391679748822606,0.9150675039246468,0.9291167447371104,thinned3km_bg2lai_wcbioclim,0.3
0,thinned3km,bg2lai,wcmonthly,1.0,0.9768445839874412,1.0,0.9992624500780704,thinned3km_bg2lai_wcmonthly,0.3
0,thinned3km,bg2lai,wcmonthlybg,0.744,0.8390894819466248,0.8928602825745683,0.8646988207047525,thinned3km_bg2lai_wcmonthlybg,0.3
0,thinned3km,bg3meanA3yr,era5land,0.536,0.7596314907872697,0.7643618090452261,0.6768153187200806,thinned3km_bg3meanA3yr_era5land,0.3
0,thinned3km,bg3meanA3yr,era5yearmonthly,0.736,0.9338358458961474,0.8821892797319933,0.8262252018337458,thinned3km_bg3meanA3yr_era5yearmonthly,0.3
0,thinned3km,bg3meanA3yr,wcbioclim,0.648,0.7971854304635762,0.7942831125827813,0.7301508838829649,thinned3km_bg3meanA3yr_wcbioclim,0.3
0,thinned3km,bg3meanA3yr,wcmonthly,1.0,0.9540372670807452,0.9995859213250518,0.9998744595877568,thinned3km_bg3meanA3yr_wcmonthly,0.3
0,thinned3km,bg3meanA3yr,wcmonthlybg,0.832,0.5652173913043478,0.7626848861283644,0.6044770849516277,thinned3km_bg3meanA3yr_wcmonthlybg,0.3
0,thinned5km,bg1uniform,era5land,0.5154639175257731,0.9305954825462012,0.9125002646118674,0.8988359788359788,thinned5km_bg1uniform_era5land,0.3
0,thinned5km,bg1uniform,era5yearmonthly,0.8020833333333334,0.971252566735113,0.9634026351813828,0.9288764250070995,thinned5km_bg1uniform_era5yearmonthly,0.3
0,thinned5km,bg1uniform,wcbioclim,0.6082474226804123,0.9371474617244158,0.92506251194165,0.9309292344388737,thinned5km_bg1uniform_wcbioclim,0.3
0,thinned5km,bg1uniform,wcmonthly,1.0,0.973397823458283,0.9991627087514596,0.99942722186914,thinned5km_bg1uniform_wcmonthly,0.3
0,thinned5km,bg1uniform,wcmonthlybg,0.7216494845360825,0.8939943571140669,0.924508740655788,0.8826746384828441,thinned5km_bg1uniform_wcmonthlybg,0.3
0,thinned5km,bg2lai,era5land,0.5729166666666666,0.8681836014123185,0.8706723224794036,0.8435071806500377,thinned5km_bg2lai_era5land,0.3
0,thinned5km,bg2lai,era5yearmonthly,0.7684210526315789,0.9717536288740682,0.9355805166112614,0.8872773743356729,thinned5km_bg2lai_era5yearmonthly,0.3
0,thinned5km,bg2lai,wcbioclim,0.625,0.9113029827315542,0.9016548927263214,0.9267000918014264,thinned5km_bg2lai_wcbioclim,0.3
0,thinned5km,bg2lai,wcmonthly,1.0,0.9607535321821036,0.9992191588173732,0.9988622900140448,thinned5km_bg2lai_wcmonthly,0.3
0,thinned5km,bg2lai,wcmonthlybg,0.7083333333333334,0.8159340659340659,0.8803555075876505,0.8769311646227118,thinned5km_bg2lai_wcmonthlybg,0.3
